category_location,price,unit_price,premium,maintenance_fee,area_floor,description,deposit_mil,monthly_rent_mil,sale_price_mil,unit_price_mil,premium_mil,maintenance_fee_mil,area_sqm,floor,total_floors,category_refined,nearest_station,walk_min
"커피점/카페 • 대방역, 도보 6분","월세 1,000만/75만",평당 37만,"권리금 3,500만",관리비 -,전용 23.14㎡ • 지상 1층 / 지상 4층,"시설 집기 포함, 신길동 카페",10.0,0.75,0.0,0.37,35.0,0.0,23.14,1.0,4.0,커피점/카페,대방역,6
"커피점/카페 • 국회의사당역, 도보 5분","월세 8,000만/800만",평당 59만,"권리금 7,000만",관리비 265만,전용 155.4㎡ • 지상 1층 / 지상 1층,최상급 시설 상태 완비된 여의도 카페,80.0,8.0,0.0,0.59,70.0,2.65,155.4,1.0,1.0,커피점/카페,국회의사당역,5
"커피점/카페 • 신길역, 도보 8분","월세 3,000만/263만",평당 40만,"권리금 1억 2,000만",관리비 39만,전용 76.03㎡ • 지상 1층 / 지상 5층,"신길동 주택가상권, 도로변에 위치한 가시성 좋은 1층 카페",30.0,2.63,0.0,0.4,120.0,0.39,76.03,1.0,5.0,커피점/카페,신길역,8
"커피점/카페 • 신길역, 도보 8분","월세 3,000만/150만",평당 67만,"권리금 4,500만",관리비 7만,전용 26.44㎡ • 지상 1층 / 지상 6층,"신길역 역세권, 대로변 건물 1층 위치, 시설, 인테리어 완비된 카페",30.0,1.5,0.0,0.67,45.0,0.07,26.44,1.0,6.0,커피점/카페,신길역,8
"커피점/카페 • 신길역, 도보 4분",월세 1억/500만,평당 24만,"권리금 5,000만",관리비 -,전용 247.0㎡ • 지상 2층 / 지상 14층,신길동 전수 양도 가능한 카페,100.0,5.0,0.0,0.24,50.0,0.0,247.0,2.0,14.0,커피점/카페,신길역,4
"커피점/카페 • 대방역, 도보 1분","월세 2,000만/220만",평당 89만,"권리금 1억 3,000만",관리비 -,전용 27.96㎡ • 지상 1층 / 지상 2층,신길동 번화가에 위치한 카페,20.0,2.2,0.0,0.89,130.0,0.0,27.96,1.0,2.0,커피점/카페,대방역,1
"커피점/카페 • 국회의사당역, 도보 3분","월세 2,200만/216만",평당 37만,"권리금 9,000만",관리비 -,전용 66.1㎡ • 지하 1층 / 지상 11층,국회의사당역 매물,22.0,2.16,0.0,0.37,90.0,0.0,66.1,-1.0,11.0,커피점/카페,국회의사당역,3
커피점/카페,"월세 3,000만/470만",평당 47만,권리금 2억,관리비 -,전용 112.4㎡ • 지상 1층 / 지상 8층,여의도 매물,30.0,4.7,0.0,0.47,200.0,0.0,112.4,1.0,8.0,커피점/카페,,0
"커피점/카페 • 신길역, 도보 7분",매매 35억,평당 21476만,권리금 -,관리비 60만,전용 178.1㎡ • 지상 1층 / 지상 23층,영등포동 1가 프랜차이즈 카페로 임차 맞춰진 상가 매매,0.0,0.0,3500.0,214.76,0.0,0.6,178.1,1.0,23.0,커피점/카페,신길역,7
"커피점/카페 • 대방역, 도보 7분","월세 3,000만/250만",평당 39만,"권리금 5,000만",관리비 5만,전용 72.73㎡ • 지상 1층 / 지상 5층,모던 인테리어 완비된 신길동 카페,30.0,2.5,0.0,0.39,50.0,0.05,72.73,1.0,5.0,커피점/카페,대방역,7
"치킨점 • 여의나루역, 도보 7분","월세 3,000만/200만",평당 69만,"권리금 3,500만",관리비 3만,전용 33.55㎡ • 지상 1층 / 지상 3층,여의도한강에서 제일 가까운 치킨점 ,30.0,2.0,0.0,0.69,35.0,0.03,33.55,1.0,3.0,치킨점,여의나루역,7
"치킨점 • 신길역, 도보 7분","월세 1,500만/150만",평당 52만,"권리금 3,000만",관리비 1만,전용 33.06㎡ • 지상 1층 / 지상 5층,"신길동 대로변, 유동인구 많은 거리 닭강정집",15.0,1.5,0.0,0.52,30.0,0.01,33.06,1.0,5.0,치킨점,신길역,7
"제과점 • 신길역, 도보 5분",월세 1억/400만,평당 81만,"권리금 2억 5,000만",관리비 9만,전용 59.5㎡ • 지상 1층 / 지상 3층,"신길역 역세권, 도로변 위치, 인테리어 완비된 1층 베이커리샵",100.0,4.0,0.0,0.81,250.0,0.09,59.5,1.0,3.0,제과점,신길역,5
"패스트푸드 • 국회의사당역, 도보 11분","매매 10억 5,000만",평당 37377만,권리금 -,관리비 -,전용 30.7㎡ • 지상 1층 / 지상 16층,"여의도동 오피스 상권, 수익성 최고 1층 상가",0.0,0.0,1050.0,373.77,0.0,0.0,30.7,1.0,16.0,패스트푸드,국회의사당역,11
"패스트푸드 • 국회의사당역, 도보 11분","월세 5,000만/350만",평당 132만,"권리금 1억 4,000만",관리비 -,전용 30.7㎡ • 지상 1층 / 지상 16층,"여의도동 오피스 상권, 회사원들 수요 최고 샌드위치점",50.0,3.5,0.0,1.32,140.0,0.0,30.7,1.0,16.0,패스트푸드,국회의사당역,11
"치킨점 • 신길역, 도보 5분","월세 8,000만/450만",평당 42만,"권리금 2억 7,000만",관리비 40만,전용 125.62㎡ • 지상 1층 / 지상 9층,신길동 그대로 양도 가능한 호프집,80.0,4.5,0.0,0.42,270.0,0.4,125.62,1.0,9.0,치킨점,신길역,5
"떢볶이/튀김 • 신길역, 도보 14분","월세 1,000만/70만",평당 18만,권리금 1억,관리비 -,전용 46.28㎡ • 지상 1층 / 지상 3층,"월세 100만원 이하, 신길동 음식점",10.0,0.7,0.0,0.18,100.0,0.0,46.28,1.0,3.0,떢볶이/튀김,신길역,14
"치킨점 • 대방역, 도보 11분","월세 2,000만/80만",평당 36만,"권리금 8,000만",관리비 -,전용 26.45㎡ • 지상 1층 / 지상 3층,1인 운영에 안성맞춤인 신길동 치킨점,20.0,0.8,0.0,0.36,80.0,0.0,26.45,1.0,3.0,치킨점,대방역,11
"치킨점 • 국회의사당역, 도보 6분","월세 5,000만/390만",평당 39만,권리금 1억,관리비 -,전용 115.7㎡ • 지상 1층 / 지상 13층,★여의도 치킨집 임대 매물입니다★,50.0,3.9,0.0,0.39,100.0,0.0,115.7,1.0,13.0,치킨점,국회의사당역,6
"치킨점 • 신길역, 도보 7분","월세 4,000만/440만",평당 72만,"권리금 6,000만",관리비 9만,전용 69.42㎡ • 지상 1층 / 지상 23층,"대로변 1층, 주목도 높은 영등포동1가 치킨점",40.0,4.4,0.0,0.72,60.0,0.09,69.42,1.0,23.0,치킨점,신길역,7
"한식점 • 신길역, 도보 5분","월세 2,000만/130만",평당 31만,"권리금 6,500만",관리비 -,전용 47.93㎡ • 지상 1층 / 지상 1층,💕조각 추천 1층 전용 14.5 신길삼거리 인근 대로변에 위치한 점포,20.0,1.3,0.0,0.31,65.0,0.0,47.93,1.0,1.0,한식점,신길역,5
"고깃집 • 신길역, 도보 5분","월세 4,000만/280만",평당 58만,"권리금 9,000만",관리비 -,전용 56.2㎡ • 지상 1층 / 지상 1층,"당신의 첫 번째 플랜, 그리고 마지막 플랜A",40.0,2.8,0.0,0.58,90.0,0.0,56.2,1.0,1.0,고깃집,신길역,5
"한식점 • 신길역, 도보 5분","월세 2,000만/130만",평당 30만,"권리금 6,500만",관리비 -,전용 49.59㎡ • 지상 1층 / 지상 1층,"당신의 첫 번째 플랜, 그리고 마지막 플랜A",20.0,1.3,0.0,0.3,65.0,0.0,49.59,1.0,1.0,한식점,신길역,5
"한식점 • 국회의사당역, 도보 3분","월세 3,000만/230만",평당 33만,"권리금 6,000만",관리비 35만,전용 79.3㎡ • 지하 1층 / 지상 13층,"시설 집기 포함, 여의도 음식점",30.0,2.3,0.0,0.33,60.0,0.35,79.3,-1.0,13.0,한식점,국회의사당역,3
"한식점 • 신길역, 도보 11분","월세 1,000만/100만",평당 28만,"권리금 3,000만",관리비 -,전용 41.19㎡ • 지상 1층 / 지상 3층,신길동)안정적운영 배달프랜차이즈,10.0,1.0,0.0,0.28,30.0,0.0,41.19,1.0,3.0,한식점,신길역,11
"한식점 • 여의도역, 도보 5분","월세 9,334만/1,750만",평당 135만,권리금 1억,관리비 -,전용 145.45㎡ • 지상 1층 / 지상 19층,🍲 오피스 상권 한식당 양도양수 매물 (역세권 / 시설완비),93.34,17.5,0.0,1.35,100.0,0.0,145.45,1.0,19.0,한식점,여의도역,5
"한식점 • 국회의사당역, 도보 5분",월세 1억/450만,평당 87만,권리금 2억,관리비 100만,전용 61.73㎡ • 지상 1층 / 지상 13층,🍚 여의도 대로변 1층 한식당 임대 (국회의사당역 도보 4분),100.0,4.5,0.0,0.87,200.0,1.0,61.73,1.0,13.0,한식점,국회의사당역,5
"한식점 • 국회의사당역, 도보 3분","월세 5,000만/450만",평당 68만,"권리금 3,000만",관리비 100만,전용 75.99㎡ • 지상 1층 / 지상 10층,💕여의도동 I 깨끗한 인테리어 I 빠른 계약 예상 I 권리협의가능,50.0,4.5,0.0,0.68,30.0,1.0,75.99,1.0,10.0,한식점,국회의사당역,3
"고깃집 • 여의나루역, 도보 4분","월세 2,000만/250만",평당 40만,"권리금 2억 3,000만",관리비 -,전용 71.11㎡ • 지상 1층 / 지상 2층,🍖 유동인구 풍부한 고깃집 위치! 바로 영업 가능 매장🔥,20.0,2.5,0.0,0.4,230.0,0.0,71.11,1.0,2.0,고깃집,여의나루역,4
"한식점 • 여의나루역, 도보 12분","월세 1,000만/100만",평당 14만,"권리금 4,000만",관리비 50만,전용 84.14㎡ • 지하 1층 / 지상 13층,"여의도동 대단지 아파트 상가, 주방 시설 완비, 단골 많은 한식집",10.0,1.0,0.0,0.14,40.0,0.5,84.14,-1.0,13.0,한식점,여의나루역,12
"한식점 • 국회의사당역, 도보 4분","월세 1,500만/120만",평당 30만,"권리금 3,500만",관리비 25만,전용 46.28㎡ • 지하 1층 / 지상 13층,"여의도동 국회의사당역 역세권, 오피스 상권 위치해 매출좋은 도시락집",15.0,1.2,0.0,0.3,35.0,0.25,46.28,-1.0,13.0,한식점,국회의사당역,4
"고깃집 • 여의도역, 도보 3분",월세 1억/750만,평당 109만,권리금 2억,관리비 130만,전용 79.01㎡ • 지상 1층 / 지상 10층,"여의도역 역세권, 깔끔한 인테리어 완비된 여의도동 고깃집",100.0,7.5,0.0,1.09,200.0,1.3,79.01,1.0,10.0,고깃집,여의도역,3
"한식점 • 샛강역, 도보 5분","월세 7,000만/500만",평당 105만,"권리금 5,000만",관리비 160만,전용 55.0㎡ • 지하 1층 / 지상 8층,여의도역 오피스 상권 한식집 매물,70.0,5.0,0.0,1.05,50.0,1.6,55.0,-1.0,8.0,한식점,샛강역,5
"한식점 • 여의도역, 도보 5분","월세 9,334만/1,750만",평당 135만,권리금 1억,관리비 -,전용 145.45㎡ • 지상 1층 / 지상 19층,"여의도동 오피스 상권, 인테리어 및 시설 최상 한식점",93.34,17.5,0.0,1.35,100.0,0.0,145.45,1.0,19.0,한식점,여의도역,5
"한식점 • 신길역, 도보 4분","월세 2,500만/105만",평당 21만,"권리금 2,500만",관리비 -,전용 60.6㎡ • 지상 2층 / 지상 2층,"신길동 신길역 역세권, 주방 시설 완비, 매출 좋은 한식집",25.0,1.05,0.0,0.21,25.0,0.0,60.6,2.0,2.0,한식점,신길역,4
"고깃집 • 국회의사당역, 도보 5분","월세 3,000만/410만",평당 20만,권리금 4억,관리비 240만,전용 231.4㎡ • 지하 1층 / 지상 10층,"여의도동 국회의사당역 역세권, 깔끔한 인테리어, 단골 많은 고깃집",30.0,4.1,0.0,0.2,400.0,2.4,231.4,-1.0,10.0,고깃집,국회의사당역,5
"한식점 • 국회의사당역, 도보 3분","월세 2,000만/130만",평당 26만,"권리금 4,400만",관리비 105만,전용 58.57㎡ • 지하 1층 / 지상 11층,"여의도동 국회의사당역 역세권, 오피스 상권 위치해 매출 좋은 한식집",20.0,1.3,0.0,0.26,44.0,1.05,58.57,-1.0,11.0,한식점,국회의사당역,3
"한식점 • 국회의사당역, 도보 6분","월세 1,000만/130만",평당 13만,권리금 1억,관리비 100만,전용 115.7㎡ • 지하 1층 / 지상 11층,"여의도동 국회의사당역 역세권, 회사원 단골 많아 매출 안정적인 백반집",10.0,1.3,0.0,0.13,100.0,1.0,115.7,-1.0,11.0,한식점,국회의사당역,6
"한식점 • 국회의사당역, 도보 4분",월세 1억/450만,평당 87만,권리금 2억,관리비 100만,전용 61.73㎡ • 지상 1층 / 지상 13층,여의도공원 인근에 위치한 여의도동 대로변 1층 한식점,100.0,4.5,0.0,0.87,200.0,1.0,61.73,1.0,13.0,한식점,국회의사당역,4
"한식점 • 신길역, 도보 6분","월세 1,000만/160만",평당 14만,"권리금 1억 2,000만",관리비 5만,전용 132.23㎡ • 지상 1층 / 지상 3층,신길동 기술전수 가능한 보쌈 전문점,10.0,1.6,0.0,0.14,120.0,0.05,132.23,1.0,3.0,한식점,신길역,6
"고깃집 • 샛강역, 도보 7분","월세 5,000만/260만",평당 93만,"권리금 1,000만",관리비 10만,전용 33.1㎡ • 지상 1층 / 지상 0층,영등포구에 있는 고깃집 임대 매물,50.0,2.6,0.0,0.93,10.0,0.1,33.1,1.0,0.0,고깃집,샛강역,7
"한식점 • 여의도역, 도보 3분",월세 1억/600만,평당 64만,"권리금 3,000만",관리비 300만,전용 109.1㎡ • 지하 1층 / 지상 23층,"안정적 매출 보장, 여의도 음식점",100.0,6.0,0.0,0.64,30.0,3.0,109.1,-1.0,23.0,한식점,여의도역,3
"고깃집 • 신길역, 도보 8분","월세 3,000만/220만",평당 25만,"권리금 5,000만",관리비 -,전용 99.44㎡ • 지상 1층 / 지상 3층,"신길동 주거지역, 인테리어 및 시설 최상 고깃집",30.0,2.2,0.0,0.25,50.0,0.0,99.44,1.0,3.0,고깃집,신길역,8
"고깃집 • 샛강역, 도보 6분","월세 6,600만/467만",평당 82만,"권리금 1억 9,000만",관리비 60만,전용 66.1㎡ • 지상 1층 / 지상 12층,여의도 곱창집 임대 매물입니다,66.0,4.67,0.0,0.82,190.0,0.6,66.1,1.0,12.0,고깃집,샛강역,6
"한식점 • 국회의사당역, 도보 3분",월세 1억/600만,평당 36만,권리금 5억,관리비 150만,전용 192.36㎡ • 지상 1층 / 지상 13층,여의도동 국회의사당역 부근 오피스상권 1층 음식점,100.0,6.0,0.0,0.36,500.0,1.5,192.36,1.0,13.0,한식점,국회의사당역,3
"한식점 • 국회의사당역, 도보 6분","월세 2,000만/185만",평당 25만,"권리금 7,700만",관리비 130만,전용 82.64㎡ • 지하 1층 / 지상 11층,여의도동 푸드코트에 위치한 음식점,20.0,1.85,0.0,0.25,77.0,1.3,82.64,-1.0,11.0,한식점,국회의사당역,6
"맥주호프점 • 국회의사당역, 도보 4분","월세 5,000만/418만",평당 95만,권리금 1억,관리비 60만,전용 50.5㎡ • 지상 1층 / 지상 13층,유동인구 많은 여의도동 오피스상권 1층 호프집,50.0,4.18,0.0,0.95,100.0,0.6,50.5,1.0,13.0,맥주호프점,국회의사당역,4
"고깃집 • 신길역, 도보 6분","월세 4,000만/280만",평당 58만,"권리금 9,000만",관리비 -,전용 56.2㎡ • 지상 1층 / 지상 1층,단골 손님 많은 신길동 고깃집,40.0,2.8,0.0,0.58,90.0,0.0,56.2,1.0,1.0,고깃집,신길역,6
"한식점 • 국회의사당역, 도보 4분","월세 7,500만/1,000만",평당 17만,권리금 4억,관리비 300만,전용 661.16㎡ • 지하 1층 / 지상 10층,"최상급 컨디션 보장, 여의도동 한식당",75.0,10.0,0.0,0.17,400.0,3.0,661.16,-1.0,10.0,한식점,국회의사당역,4
"한식점 • 신길역, 도보 6분","월세 2,000만/120만",평당 28만,"권리금 8,000만",관리비 -,전용 49.59㎡ • 지상 1층 / 지상 1층,신길동 오피스 상권에 위치한 김치찌개 전문점,20.0,1.2,0.0,0.28,80.0,0.0,49.59,1.0,1.0,한식점,신길역,6
"한식점 • 국회의사당역, 도보 6분",월세 700만/80만,평당 27만,"권리금 2,500만",관리비 46만,전용 33.1㎡ • 지하 1층 / 지상 11층,여의도 위치한 음식점,7.0,0.8,0.0,0.27,25.0,0.46,33.1,-1.0,11.0,한식점,국회의사당역,6
"한식점 • 샛강역, 도보 6분","월세 2,700만/250만",평당 21만,"권리금 1억 2,000만",관리비 200만,전용 132.2㎡ • 지하 1층 / 지상 10층,"오피스 상권, 더블역세권에 위치한 음식점",27.0,2.5,0.0,0.21,120.0,2.0,132.2,-1.0,10.0,한식점,샛강역,6
"한식점 • 신길역, 도보 4분","월세 3,000만/180만",평당 65만,"권리금 4,000만",관리비 3만,전용 32.37㎡ • 지상 1층 / 지상 3층,"신길동 양도 양수 가능, 매출 잘 나오는 1층 덮밥, 한식 전문점",30.0,1.8,0.0,0.65,40.0,0.03,32.37,1.0,3.0,한식점,신길역,4
"한식점 • 국회의사당역, 도보 5분",월세 1억/950만,평당 25만,권리금 2억,관리비 220만,전용 423.1㎡ • 지상 2층 / 지상 11층,"안정적 매출 보장, 여의도동 음식점",100.0,9.5,0.0,0.25,200.0,2.2,423.1,2.0,11.0,한식점,국회의사당역,5
"한식점 • 샛강역, 도보 7분","월세 3,000만/280만",평당 24만,권리금 1억,관리비 70만,전용 132.2㎡ • 지하 1층 / 지상 35층,영등포구에 있는 한식점 임대 매물입니다,30.0,2.8,0.0,0.24,100.0,0.7,132.2,-1.0,35.0,한식점,샛강역,7
"한식점 • 신길역, 도보 4분","월세 3,000만/170만",평당 60만,"권리금 4,000만",관리비 3만,전용 33.06㎡ • 지상 1층 / 지상 3층,신길동 전체 양도 가능한 음식점,30.0,1.7,0.0,0.6,40.0,0.03,33.06,1.0,3.0,한식점,신길역,4
"고깃집 • 대방역, 도보 11분","월세 5,000만/200만",평당 28만,권리금 1억,관리비 -,전용 85.95㎡ • 지상 1층 / 지상 3층,인테리어 완비된 신길동 고깃집,50.0,2.0,0.0,0.28,100.0,0.0,85.95,1.0,3.0,고깃집,대방역,11
"맥주호프점 • 신길역, 도보 10분","월세 2,000만/165만",평당 27만,"권리금 5,000만",관리비 -,전용 69.4㎡ • 지상 2층 / 지상 3층,영등포구에 있는 호프점 임대 매물입니다,20.0,1.65,0.0,0.27,50.0,0.0,69.4,2.0,3.0,맥주호프점,신길역,10
"한식점 • 국회의사당역, 도보 2분","월세 5,000만/500만",평당 38만,권리금 1억,관리비 165만,전용 148.76㎡ • 지하 1층 / 지상 11층,여의도동 번화가에 위치한 음식점,50.0,5.0,0.0,0.38,100.0,1.65,148.76,-1.0,11.0,한식점,국회의사당역,2
"한식점 • 여의도역, 도보 2분","월세 2,850만/920만",평당 31만,"권리금 2억 4,000만",관리비 200만,전용 330.6㎡ • 지상 4층 / 지상 5층,★여의도 음식점 임대 매물입니다★,28.5,9.2,0.0,0.31,240.0,2.0,330.6,4.0,5.0,한식점,여의도역,2
"맥주호프점 • 대방역, 도보 3분","월세 3,000만/127만",평당 9만,"권리금 7,000만",관리비 -,전용 162.0㎡ • 지하 1층 / 지상 5층,대방역 초역세권 호프.,30.0,1.27,0.0,0.09,70.0,0.0,162.0,-1.0,5.0,맥주호프점,대방역,3
"한식점 • 여의나루역, 도보 6분","월세 8,500만/1,300만",평당 110만,"권리금 2억 1,200만","관리비 1,300만",전용 132.23㎡ • 지하 2층 / 지상 69층,"안정적 매출 보장, 여의도동 음식점",85.0,13.0,0.0,1.1,212.0,13.0,132.23,-2.0,69.0,한식점,여의나루역,6
"한식점 • 영등포역, 도보 11분","월세 8,000만/396만",평당 47만,권리금 3억,관리비 10만,전용 99.2㎡ • 지상 1층 / 지상 3층,"신길동 대로변 앞, 13년 운영한 홍어회전문점",80.0,3.96,0.0,0.47,300.0,0.1,99.2,1.0,3.0,한식점,영등포역,11
"한식점 • 노량진역, 도보 10분","월세 1억/1,000만",평당 24만,권리금 5억,관리비 220만,전용 472.7㎡ • 지하 1층 / 지상 37층,고급스러운 인테리어 완비된 여의도 음식점,100.0,10.0,0.0,0.24,500.0,2.2,472.7,-1.0,37.0,한식점,노량진역,10
"1층다용도 • 신길역, 도보 9분","월세 3,000만/200만",평당 64만,권리금 -,관리비 13만,전용 36.3302㎡ • 지상 1층 / 지상 20층,"배후수요 풍부, 접근성 우수한 영등포동2가 1층 상가",30.0,2.0,0.0,0.64,0.0,0.13,36.3302,1.0,20.0,1층다용도,신길역,9
"1층다용도 • 신길역, 도보 9분",월세 1억/400만,평당 67만,권리금 -,관리비 36만,전용 71.7504㎡ • 지상 1층 / 지상 20층,"배후수요 풍부, 접근성 우수한 영등포동2가 1층 상가",100.0,4.0,0.0,0.67,0.0,0.36,71.7504,1.0,20.0,1층다용도,신길역,9
"편의점 • 신길역, 도보 3분","월세 5,000만/240만",평당 96만,"권리금 2,500만",관리비 -,전용 29.75㎡ • 지상 1층 / 지상 15층,신길동 접근성 좋은 대로변 1층 상가,50.0,2.4,0.0,0.96,25.0,0.0,29.75,1.0,15.0,편의점,신길역,3
"당구장 • 샛강역, 도보 5분","월세 6,600만/1,400만",평당 29만,"권리금 3억 6,000만",관리비 -,전용 535.34㎡ • 지하 2층 / 지상 16층,샛강역 부근 역세권에 위치한 여의도동 당구장,66.0,14.0,0.0,0.29,360.0,0.0,535.34,-2.0,16.0,당구장,샛강역,5
"편의점 • 샛강역, 도보 7분","월세 2,100만/520만",평당 200만,"권리금 1억 5,000만",관리비 20만,전용 28.93㎡ • 지상 1층 / 지상 0층,"대로변 코너 1층, 주목도 높은 역세권 여의도동 편의점",21.0,5.2,0.0,2.0,150.0,0.2,28.93,1.0,0.0,편의점,샛강역,7
"편의점 • 영등포시장역, 도보 10분","월세 1억 5,000만/350만",평당 51만,권리금 -,관리비 30만,전용 89.26㎡ • 지상 1층 / 지상 3층,"대로변 1층, 명화라이브홀 맞은편에 위치한 영등포동2가 편의점",150.0,3.5,0.0,0.51,0.0,0.3,89.26,1.0,3.0,편의점,영등포시장역,10
"노래방 • 신길역, 도보 5분","월세 5,000만/230만",평당 30만,권리금 2억,관리비 45만,전용 91.33㎡ • 지상 4층 / 지상 14층,접근성 좋은 신길동 상가,50.0,2.3,0.0,0.3,200.0,0.45,91.33,4.0,14.0,노래방,신길역,5
"노래방 • 신길역, 도보 7분","월세 2,000만/240만",평당 13만,"권리금 6,500만",관리비 -,전용 217.68㎡ • 지하 1층 / 지상 4층,"대로변 상권, 주목도 높은 신길동 노래방",20.0,2.4,0.0,0.13,65.0,0.0,217.68,-1.0,4.0,노래방,신길역,7
"노래방 • 국회의사당역, 도보 6분","월세 5,300만/500만",평당 50만,"권리금 1억 5,000만",관리비 50만,전용 114.8㎡ • 지하 1층 / 지상 13층,★여의도 노래방 임대 매물입니다★,53.0,5.0,0.0,0.5,150.0,0.5,114.8,-1.0,13.0,노래방,국회의사당역,6
의류판매점,"월세 2,000만/150만",평당 65만,권리금 1억,관리비 -,전용 26.4㎡ • 지상 1층 / 지상 14층,국회의사당역 매물~!,20.0,1.5,0.0,0.65,100.0,0.0,26.4,1.0,14.0,의류판매점,,0
"피부미용 • 샛강역, 도보 6분","월세 2,000만/160만",평당 25만,권리금 1억,관리비 55만,전용 72.0㎡ • 지상 3층 / 지상 5층,"샛강역 역세권, 인테리어 완비된 여의도동 피부체형관리샵",20.0,1.6,0.0,0.25,100.0,0.55,72.0,3.0,5.0,피부미용,샛강역,6
"미용실 • 국회의사당역, 도보 2분","월세 3,000만/210만",평당 71만,"권리금 3,000만",관리비 23만,전용 34.02㎡ • 지상 1층 / 지상 14층,"여의도동 오피스 상권, 깔끔한 시설 헤어샵",30.0,2.1,0.0,0.71,30.0,0.23,34.02,1.0,14.0,미용실,국회의사당역,2
"피부미용 • 샛강역, 도보 6분","월세 2,000만/160만",평당 26만,권리금 1억,관리비 55만,전용 69.42㎡ • 지상 3층 / 지상 5층,"샛강역 역세권, 인테리어 완비, 대로변에 위치한 여의도동 에스테틱샵",20.0,1.6,0.0,0.26,100.0,0.55,69.42,3.0,5.0,피부미용,샛강역,6
"마사지 • 대방역, 도보 4분","월세 1,000만/75만",평당 13만,"권리금 3,000만",관리비 -,전용 66.12㎡ • 지상 2층 / 지상 2층,신길동 위치조건 뛰어난 마사지샵,10.0,0.75,0.0,0.13,30.0,0.0,66.12,2.0,2.0,마사지,대방역,4
"마사지 • 샛강역, 도보 5분","월세 3,000만/400만",평당 24만,권리금 1억,관리비 200만,전용 188.43㎡ • 지상 3층 / 지상 10층,접근성 좋은 대로변 여의도동 3층 상가,30.0,4.0,0.0,0.24,100.0,2.0,188.43,3.0,10.0,마사지,샛강역,5
