category_location,price,unit_price,premium,maintenance_fee,area_floor,description
"이동통신점 • 남구로역, 도보 6분","월세 5,000만/250만",평당 74.7만,"권리금 1억 5,000만",관리비 -,전용 39.67㎡ • 지상 1층 / 지상 3층,유동인구 많은 가리봉동 이동통신점
"1층다용도 • 남구로역, 도보 9분","월세 3,000만/130만",평당 38.0만,권리금 -,관리비 -,전용 40.8㎡ • 지상 1층 / 지상 10층,"무권리, 구로동 오피스상권 위치, 지식산업센터 1층 상가"
"한식점 • 남구로역, 도보 6분","월세 2,000만/60만",평당 17.5만,"권리금 2,000만",관리비 -,전용 42.98㎡ • 지상 1층 / 지상 4층,구로동 시설 양도 가능한 음식점
"기타서비스업 • 남구로역, 도보 7분","월세 1,000만/120만",평당 41.0만,권리금 500만,관리비 -,전용 33.06㎡ • 지상 1층 / 지상 5층,"남구로역 인근, 유동인구 풍부한 구로동 1층 상가"
"기타판매점 • 가산디지털단지역, 도보 9분","월세 1,500만/100만",평당 41.0만,권리금 -,관리비 10만,전용 28.4㎡ • 지상 1층 / 지상 18층,금천구 가산동 위치좋은 1층 상가 임대
"이동통신점 • 가산디지털단지역, 도보 9분",매매 4억,평당 15392.1만,권리금 -,관리비 -,전용 28.4㎡ • 지상 1층 / 지상 18층,금천구 가산동 임차중 1층 상가 매매
"치킨점 • 남구로역, 도보 7분","월세 2,000만/170만",평당 43.0만,"권리금 5,500만",관리비 -,전용 45.36㎡ • 지상 1층 / 지상 2층,구로구 가리봉동 성업중인 치킨집 임대
"커피점/카페 • 구로디지털단지역, 도보 10분","월세 4,000만/250만",평당 145.8만,"권리금 5,000만",관리비 10만,전용 20.0㎡ • 지상 1층 / 지상 20층,"구로디지털단지역 역세권, 지식산업센터 1층, 깔끔한 인테리어의 카페"
"패스트푸드 • 남구로역, 도보 9분","월세 3,000만/200만",평당 46.9만,"권리금 8,000만",관리비 -,전용 49.59㎡ • 지상 1층 / 지상 10층,남구로구역 인근 산업단지에 위치한 도시락 매물
"일식점 • 구로디지털단지역, 도보 15분","월세 1,000만/60만",평당 16.2만,"권리금 1,500만",관리비 -,전용 42.98㎡ • 지상 1층 / 지상 7층,가산동 시설양도 가능한 일식점
"치킨점 • 남구로역, 도보 7분","월세 2,500만/280만",평당 78.3만,"권리금 3,000만",관리비 20만,전용 40.5㎡ • 지상 1층 / 지상 1층,"구로동 항아리 상권, 조건 훌륭한 치킨점"
"기타휴게점 • 구로디지털단지역, 도보 9분","월세 3,000만/130만",평당 52.6만,"권리금 2,000만",관리비 70만,전용 29.57㎡ • 지상 1층 / 지상 19층,"구로동 지식산업센터 내, 꾸준한 수요 샌드위치점"
"기타휴게점 • 가산디지털단지역, 도보 8분","월세 5,000만/300만",평당 64.1만,"권리금 1,500만",관리비 50만,전용 54.61㎡ • 지상 1층 / 지상 19층,"가산동 가산디지털단지역 역세권, 입소문 듣고 찾아오는 샐러드 전문점"
"일식점 • 가산디지털단지역, 도보 3분","월세 5,000만/390만",평당 75.4만,권리금 1억,관리비 55만,전용 59.5㎡ • 지상 1층 / 지상 20층,"가산동 가산디지털단지역 초역세권, 깔끔한 인테리어의 일식집"
"1층다용도 • 남구로역, 도보 5분","월세 4,000만/330만",평당 62.5만,권리금 -,관리비 30만,전용 60.64㎡ • 지상 1층 / 지상 4층,"남구로역 인근 대로변 위치, 유동인구 풍부한 구로2동 1층 상가"
"한식점 • 남구로역, 도보 9분","월세 3,000만/200만",평당 44.0만,"권리금 8,000만",관리비 60만,전용 52.89㎡ • 지상 1층 / 지상 10층,구로동 상권 잡혀 있는 도시락 전문점
"기타음식점 • 남구로역, 도보 7분","월세 2,000만/160만",평당 90.9만,"권리금 1,000만",관리비 8만,전용 20.25㎡ • 지상 1층 / 지상 1층,"구로동 대로변, 다양한 업종으로 추천드리는 배달음식점"
"일식점 • 남구로역, 도보 7분","월세 5,000만/265만",평당 78.7만,"권리금 6,000만",관리비 65만,전용 39.67㎡ • 지상 1층 / 지상 1층,구로동 단지내 상가에 위치한 음식점
"돈까스/우동 • 가산디지털단지역, 도보 8분",매매 3억,평당 11435.4만,권리금 -,관리비 10만,전용 28.67㎡ • 지상 1층 / 지상 15층,유동인구 많은 가산동 로데오거리 1층 음식점 매매
"중국집 • 남구로역, 도보 3분","월세 3,000만/180만",평당 70.7만,"권리금 8,000만",관리비 -,전용 29.7㎡ • 지상 1층 / 지상 1층,"구로동 대로변, 단골고객 다수, 입소문 듣고 찾아오는 양꼬치 전문점"
"네일아트 • 남구로역, 도보 8분","월세 4,000만/140만",평당 51.9만,"권리금 1억 2,000만",관리비 -,전용 33.06㎡ • 지상 1층 / 지상 3층,구로동 번화가에 위치한 네일샵
"실내포차 • 남구로역, 도보 7분","월세 1,000만/80만",평당 51.2만,"권리금 4,000만",관리비 -,전용 18.0㎡ • 지상 1층 / 지상 2층,"시설 집기 포함, 가리봉동 실내포차"
"기타서비스업 • 남구로역, 도보 7분","월세 3,500만/140만",평당 85.3만,"권리금 2,500만",관리비 20만,전용 19.83㎡ • 지상 1층 / 지상 1층,구로동 대로변 앞에 있는 아파트 단지 내 스티커사진관
"떢볶이/튀김 • 남구로역, 도보 10분",매매 4억,평당 8465.2만,권리금 -,관리비 -,전용 51.64㎡ • 지상 1층 / 지상 19층,"대로변, 접근성 좋은 1층 구로동 점포"
"제과점 • 남구로역, 도보 4분","월세 5,000만/200만",평당 40.7만,"권리금 8,000만",관리비 -,전용 59.5㎡ • 지상 1층 / 지상 5층,남구로역 초역세권 구로동 점포
"한식점 • 남구로역, 도보 4분","월세 3,000만/150만",평당 134.2만,"권리금 3,500만",관리비 -,전용 13.22㎡ • 지상 1층 / 지상 1층,구로동 대로변에 위치한 곱창전문점
"중국집 • 남구로역, 도보 3분","월세 2,500만/220만",평당 52.6만,"권리금 5,000만",관리비 -,전용 47.95㎡ • 지상 1층 / 지상 1층,"구로동 대로변, 기본 설비 잘 되어 있는 중식점"
돈까스/우동,"월세 2,000만/110만",평당 29.1만,"권리금 3,000만",관리비 -,전용 44.38㎡ • 지상 1층 / 지상 4층,배달에 용이한 독산동 음식점
"떢볶이/튀김 • 가산디지털단지역, 도보 9분","월세 3,000만/300만",평당 60.8만,"권리금 5,000만",관리비 55만,전용 56.2㎡ • 지상 1층 / 지상 19층,가산동 전수양도 조건인 떡볶이 전문점
"커피점/카페 • 가산디지털단지역, 도보 9분","월세 5,000만/210만",평당 40.0만,"권리금 8,000만",관리비 10만,전용 62.81㎡ • 지상 1층 / 지상 15층,오피스 상권에 위치한 가산동 카페
분식점,"월세 4,000만/120만",평당 50.2만,"권리금 3,000만",관리비 -,전용 29.75㎡ • 지상 1층 / 지상 2층,거주민 유동인구 풍부한 가산동 음식점
"커피점/카페 • 남구로역, 도보 12분","월세 3,000만/185만",평당 81.7만,"권리금 6,000만",관리비 30만,전용 26.45㎡ • 지상 1층 / 지상 14층,"인테리어 완비, 구로동 지식산업센터 내 1층 카페"
"화장품점 • 남구로역, 도보 7분","월세 6,000만/330만",평당 78.3만,권리금 1억,관리비 -,전용 49.59㎡ • 지상 1층 / 지상 2층,"남구로 시장, 골목 코너 화장품샵"
"떢볶이/튀김 • 남구로역, 도보 7분","월세 3,000만/155만",평당 86.9만,"권리금 4,500만",관리비 30만,전용 21.06㎡ • 지상 1층 / 지상 1층,"시설 집기 포함, 단골고객 많은 구로동 분식점"
"떢볶이/튀김 • 남구로역, 도보 7분","월세 3,000만/155만",평당 80.0만,"권리금 4,500만",관리비 25만,전용 22.88㎡ • 지상 1층 / 지상 1층,구로동 단지내 상가에 위치한 떡볶이 전문점
"분식점 • 남구로역, 도보 6분","월세 2,000만/160만",평당 76.4만,"권리금 7,000만",관리비 -,전용 24.13㎡ • 지상 1층 / 지상 2층,"시설 집기 포함, 남구로역 5분거리 1층 음식점"
"중국집 • 남구로역, 도보 3분","월세 4,000만/110만",평당 35.0만,"권리금 8,000만",관리비 -,전용 39.67㎡ • 지상 1층 / 지상 3층,"역세권 상권, 남구로역 1분거리 1층 중식당"
"실내포차 • 남구로역, 도보 2분","월세 2,500만/140만",평당 31.7만,"권리금 4,500만",관리비 -,전용 52.02㎡ • 지상 1층 / 지상 4층,"역세권 상권, 유동인구 많은 구로동 매장"
"실내포차 • 남구로역, 도보 3분","월세 2,000만/100만",평당 35.7만,"권리금 2,000만",관리비 -,전용 33.06㎡ • 지상 1층 / 지상 2층,"구로동 초역세권, 입지조건 훌륭한 실내포차"
"피자점 • 남구로역, 도보 7분","월세 1,000만/91만",평당 26.8만,"권리금 3,000만",관리비 7만,전용 38.64㎡ • 지상 1층 / 지상 3층,"남구로역 역세권, 대단지 아파트 상가 위치한 피자집"
"미용실 • 남구로역, 도보 7분","월세 5,000만/180만",평당 66.4만,"권리금 3,000만",관리비 4만,전용 33.06㎡ • 지상 1층 / 지상 3층,"도로변 상권, 수요도 많은 가리봉동 미용실"
"한식점 • 남구로역, 도보 2분","월세 2,000만/194만",평당 44.6만,"권리금 4,000만",관리비 -,전용 49.59㎡ • 지상 1층 / 지상 5층,"대로변 상권, 수요도 많은 구로동 매장"
기타판매점,"월세 3,000만/110만",평당 42.0만,"권리금 4,500만",관리비 -,전용 31.97㎡ • 지상 1층 / 지상 2층,단골손님 많은 가산종 반찬가게
"돈까스/우동 • 대림역, 도보 8분","월세 3,000만/154만",평당 39.3만,"권리금 4,500만",관리비 -,전용 46.28㎡ • 지상 1층 / 지상 3층,"남구로역 역세권, 시설, 인테리어 완비된 돈까스 전문점"
"한식점 • 남구로역, 도보 7분","월세 2,000만/150만",평당 85.3만,"권리금 2,000만",관리비 30만,전용 20.25㎡ • 지상 1층 / 지상 1층,"남구로역 역세권, 대단지 아파트 상가 위치한 한식집"
"기타판매점 • 남구로역, 도보 7분","월세 4,000만/200만",평당 59.2만,"권리금 1억 1,000만",관리비 10만,전용 40.0㎡ • 지상 1층 / 지상 5층,구로동 시설 양도 가능한 안경점
"커피점/카페 • 남구로역, 도보 4분","월세 2,000만/75만",평당 39.3만,"권리금 3,000만",관리비 -,전용 23.14㎡ • 지상 1층 / 지상 5층,구로동 위치조건 뛰어난 카페
"한식점 • 남구로역, 도보 10분","월세 1,000만/66만",평당 15.5만,"권리금 6,000만",관리비 -,전용 49.59㎡ • 지상 1층 / 지상 4층,구로동 상호까지 양도 가능한 음식점
"커피점/카페 • 가산디지털단지역, 도보 15분","월세 3,000만/220만",평당 64.1만,"권리금 5,000만",관리비 25만,전용 39.57㎡ • 지상 1층 / 지상 20층,매출 보장 가산동 카페
피자점,"월세 2,000만/110만",평당 32.7만,권리금 1억,관리비 2만,전용 39.7㎡ • 지상 1층 / 지상 2층,가리봉동에 위치한 피자 전문점 입니다.
"한식점 • 대림역, 도보 5분","월세 4,000만/165만",평당 49.9만,"권리금 1억 2,000만",관리비 -,전용 39.7㎡ • 지상 1층 / 지상 4층,★구로동 감자탕집 임대 매물입니다★
미용실,"월세 2,000만/180만",평당 44.3만,"권리금 4,300만",관리비 23만,전용 46.3㎡ • 지상 1층 / 지상 18층,디지털단지 오거리 근처에 위치한 점포
"의류판매점 • 대림역, 도보 7분","월세 3,000만/260만",평당 89.9만,"권리금 5,000만",관리비 23만,전용 33.1㎡ • 지상 1층 / 지상 4층,구로동 대로변에 위치한 의류판매점(급매)
"기타서비스업 • 남구로역, 도보 10분",매매 5억,평당 12713.1만,권리금 -,관리비 5만,전용 42.98㎡ • 지상 1층 / 지상 5층,주거밀집지역에 위치한 구로동 1층 점포 매매
"기타서비스업 • 남구로역, 도보 10분","월세 5,000만/120만",평당 35.7만,"권리금 9,000만",관리비 5만,전용 42.98㎡ • 지상 1층 / 지상 5층,주거 밀집 지역에 위치한 구로동 빨래방
"네일아트 • 남구로역, 도보 3분","월세 1,000만/110만",평당 31.4만,"권리금 3,000만",관리비 2만,전용 39.67㎡ • 지상 1층 / 지상 1층,"남구로역 6호선 초역세권, 구로동 네일샵"
"중국집 • 남구로역, 도보 5분","월세 3,000만/130만",평당 34.4만,"권리금 5,000만",관리비 -,전용 45.45㎡ • 지상 1층 / 지상 2층,구로동 번화가에 위치한 중식당
"분식점 • 구로디지털단지역, 도보 10분","월세 4,000만/260만",평당 70.4만,"권리금 1억 3,000만",관리비 15만,전용 42.98㎡ • 지상 1층 / 지상 9층,"구로동 공업지역, 회사원 유동인구 많은 분식점"
